,Nationality
10367,Afghanistan
7462,Afghanistan
13639,Afghanistan
12550,Albania
17515,Albania
15269,Albania
12468,Albania
7694,Albania
12920,Albania
4355,Albania
4370,Albania
10762,Albania
10750,Albania
15567,Albania
14706,Albania
2219,Albania
15450,Albania
1788,Albania
10427,Albania
5793,Albania
7569,Albania
1037,Albania
9832,Albania
7418,Albania
4274,Albania
11813,Albania
3210,Albania
17962,Albania
11062,Albania
15326,Albania
971,Albania
746,Albania
6214,Albania
17095,Albania
9567,Albania
4952,Albania
11922,Albania
12128,Albania
16019,Albania
12430,Albania
13199,Albania
5132,Albania
8895,Albania
11418,Albania
993,Albania
16744,Albania
5731,Albania
8863,Albania
7217,Albania
498,Albania
14603,Algeria
12096,Algeria
14544,Algeria
12794,Algeria
1945,Algeria
3176,Algeria
12798,Algeria
1499,Algeria
9798,Algeria
5469,Algeria
13094,Algeria
1829,Algeria
3714,Algeria
954,Algeria
11885,Algeria
1548,Algeria
14808,Algeria
14797,Algeria
9657,Algeria
497,Algeria
14751,Algeria
8083,Algeria
3278,Algeria
11819,Algeria
15445,Algeria
9756,Algeria
5558,Algeria
18077,Algeria
17439,Algeria
3258,Algeria
14485,Algeria
14964,Algeria
14972,Algeria
569,Algeria
14295,Algeria
819,Algeria
3815,Algeria
11118,Algeria
807,Algeria
258,Algeria
16184,Algeria
1368,Algeria
3519,Algeria
5676,Algeria
541,Algeria
16050,Algeria
16046,Algeria
5130,Algeria
15062,Algeria
6208,Algeria
5767,Algeria
10840,Algeria
1714,Algeria
8489,Algeria
14858,Algeria
7055,Algeria
10292,Algeria
4967,Algeria
6078,Algeria
8429,Algeria
3438,Algeria
15586,Algeria
11560,Andorra
6777,Angola
13822,Angola
9961,Angola
4670,Angola
5670,Angola
11319,Angola
8766,Angola
8063,Angola
13509,Angola
2155,Angola
5778,Angola
8646,Angola
15043,Angola
3023,Angola
11573,Angola
2207,Angola
12142,Angola
3716,Angola
5482,Angola
7337,Angola
6216,Angola
7297,Angola
3969,Angola
16350,Angola
13108,Antigua & Barbuda
4267,Antigua & Barbuda
9364,Antigua & Barbuda
2405,Argentina
12011,Argentina
12173,Argentina
12331,Argentina
12344,Argentina
12152,Argentina
12183,Argentina
4730,Argentina
2407,Argentina
12213,Argentina
4722,Argentina
12074,Argentina
12243,Argentina
1132,Argentina
12075,Argentina
12257,Argentina
12330,Argentina
12088,Argentina
12043,Argentina
12260,Argentina
4700,Argentina
2406,Argentina
12285,Argentina
12291,Argentina
12316,Argentina
12259,Argentina
12016,Argentina
2734,Argentina
11963,Argentina
11106,Argentina
5013,Argentina
1287,Argentina
11137,Argentina
11143,Argentina
11144,Argentina
11146,Argentina
11148,Argentina
11149,Argentina
11151,Argentina
11152,Argentina
1276,Argentina
11161,Argentina
11163,Argentina
11174,Argentina
11097,Argentina
11094,Argentina
11093,Argentina
11080,Argentina
10894,Argentina
10901,Argentina
10911,Argentina
5089,Argentina
10948,Argentina
10949,Argentina
10962,Argentina
4996,Argentina
10970,Argentina
10979,Argentina
2353,Argentina
11021,Argentina
11048,Argentina
11049,Argentina
11065,Argentina
5027,Argentina
1319,Argentina
1258,Argentina
11234,Argentina
4975,Argentina
11696,Argentina
11724,Argentina
4845,Argentina
11754,Argentina
4814,Argentina
11821,Argentina
11822,Argentina
4855,Argentina
11827,Argentina
11841,Argentina
11842,Argentina
11853,Argentina
2397,Argentina
11901,Argentina
1152,Argentina
1146,Argentina
11835,Argentina
11964,Argentina
11633,Argentina
11590,Argentina
11305,Argentina
11315,Argentina
11326,Argentina
1237,Argentina
2370,Argentina
1233,Argentina
4960,Argentina
11623,Argentina
11384,Argentina
4928,Argentina
11414,Argentina
1221,Argentina
1216,Argentina
11505,Argentina
11565,Argentina
1202,Argentina
11390,Argentina
12352,Argentina
12748,Argentina
12381,Argentina
13622,Argentina
13632,Argentina
13643,Argentina
4300,Argentina
2485,Argentina
13661,Argentina
4299,Argentina
848,Argentina
834,Argentina
13698,Argentina
13716,Argentina
13717,Argentina
13719,Argentina
13720,Argentina
13722,Argentina
13724,Argentina
4289,Argentina
13615,Argentina
13609,Argentina
13606,Argentina
4388,Argentina
4342,Argentina
13491,Argentina
13501,Argentina
4326,Argentina
13507,Argentina
13523,Argentina
13539,Argentina
4324,Argentina
13575,Argentina
13576,Argentina
4317,Argentina
13586,Argentina
13589,Argentina
4301,Argentina
13598,Argentina
13605,Argentina
13732,Argentina
13741,Argentina
13757,Argentina
13767,Argentina
13866,Argentina
13867,Argentina
13869,Argentina
13870,Argentina
780,Argentina
13871,Argentina
13872,Argentina
13873,Argentina
13874,Argentina
775,Argentina
13877,Argentina
4248,Argentina
13881,Argentina
13882,Argentina
13890,Argentina
13902,Argentina
13904,Argentina
13865,Argentina
885,Argentina
13864,Argentina
13862,Argentina
813,Argentina
13780,Argentina
13791,Argentina
13800,Argentina
4262,Argentina
13812,Argentina
803,Argentina
13843,Argentina
13849,Argentina
13850,Argentina
13851,Argentina
13856,Argentina
13857,Argentina
13858,Argentina
13859,Argentina
13860,Argentina
13861,Argentina
13863,Argentina
12362,Argentina
887,Argentina
4397,Argentina
1027,Argentina
12780,Argentina
4673,Argentina
12795,Argentina
12812,Argentina
12813,Argentina
12816,Argentina
1031,Argentina
12819,Argentina
12838,Argentina
12863,Argentina
12881,Argentina
12893,Argentina
12904,Argentina
12906,Argentina
12935,Argentina
12837,Argentina
5091,Argentina
12736,Argentina
12735,Argentina
12388,Argentina
4685,Argentina
12396,Argentina
12408,Argentina
12409,Argentina
12417,Argentina
12425,Argentina
4683,Argentina
4681,Argentina
4680,Argentina
12482,Argentina
12510,Argentina
12576,Argentina
12600,Argentina
12646,Argentina
1047,Argentina
12731,Argentina
12980,Argentina
12985,Argentina
13005,Argentina
2427,Argentina
13315,Argentina
4580,Argentina
13360,Argentina
4577,Argentina
4573,Argentina
4571,Argentina
4563,Argentina
912,Argentina
911,Argentina
4504,Argentina
906,Argentina
4453,Argentina
902,Argentina
2458,Argentina
4417,Argentina
4411,Argentina
4403,Argentina
13304,Argentina
2468,Argentina
4581,Argentina
13281,Argentina
13089,Argentina
13091,Argentina
13113,Argentina
4611,Argentina
13125,Argentina
13137,Argentina
13157,Argentina
13177,Argentina
13202,Argentina
13230,Argentina
13231,Argentina
13232,Argentina
13238,Argentina
13239,Argentina
13263,Argentina
13274,Argentina
13277,Argentina
4585,Argentina
10887,Argentina
10696,Argentina
1336,Argentina
7576,Argentina
7578,Argentina
7582,Argentina
1892,Argentina
7618,Argentina
7620,Argentina
7639,Argentina
7650,Argentina
7675,Argentina
7676,Argentina
7692,Argentina
5983,Argentina
5969,Argentina
