,Country,Population,Obesity_percentage,covid_deaths,covid_death_percentage
0,Austria,9006398,21.9,10152,0.0011271986869778572
1,Australia,25499884,30.4,910,3.568643684810488e-05
2,Belgium,11589623,24.5,24140,0.0020828977784695846
3,Canada,37742154,31.3,24110,0.0006388082672758953
4,Chile,19116201,28.8,26073,0.0013639216285704467
5,Colombia,50882891,22.1,72725,0.001429262342817746
6,Czech Republic,10708981,28.5,29141,0.002721173938024542
7,Denmark,5792202,21.3,2482,0.00042850715496455406
8,Estonia,1326535,23.8,1148,0.0008654125220970423
9,Finland,5540720,24.9,911,0.00016441906467029555
10,France,65273511,23.2,104077,0.001594475284162361
11,Germany,83783942,25.7,82588,0.0009857258805034501
12,Greece,10423054,27.4,10242,0.000982629467332703
13,Hungary,9660351,28.6,27172,0.0028127342370893147
14,Iceland,341243,23.1,29,8.498342823149486e-05
15,Ireland,4937786,26.9,4896,0.0009915375028403419
16,Israel,8655535,26.7,6361,0.0007349054680039997
17,Italy,60461826,22.9,120256,0.0019889574621844864
18,Japan,126476461,4.4,10052,7.947723964224458e-05
19,Korea,51269185,4.9,1825,3.559643087753394e-05
20,Latvia,1886198,25.7,2118,0.0011228937789139846
21,Lithuania,2722289,28.4,3900,0.0014326179182298426
22,Luxembourg,625978,24.2,792,0.0012652201834569266
23,Mexico,128932753,28.4,215918,0.0016746559347879588
24,Netherlands,17134872,23.1,17339,0.0010119130157494028
25,New Zealand,4822233,32.0,26,5.391693018566295e-06
26,Norway,5421241,25.0,753,0.00013889808624999332
27,Poland,37846611,25.6,66533,0.001757964537432427
28,Portugal,10196709,23.2,16973,0.001664556672157654
29,Slovakia,5459642,22.4,11611,0.002126696219275916
30,Slovenia,2078938,22.5,4236,0.002037578802253843
31,Spain,46754778,27.1,77943,0.0016670595676873924
32,Sweden,10099265,22.1,14000,0.0013862394936661232
33,Switzerland,8654622,21.2,10617,0.0012267433517027086
34,Turkey,84339067,32.2,39398,0.0004671382006158546
35,United Kingdom,67886011,29.5,127734,0.0018815953112932206
36,United States,331002651,37.3,574340,0.0017351522661974087
37,China,1439323776,6.6,4845,3.3661640839871736e-06
38,India,1380004385,3.8,204832,0.0001484285138702657
